verdetto;nome;citta;provincia;self;distanza_m;osm_id;osm_nome;app_feriali;osm_feriali;esito_feriali;app_sabato;osm_sabato;esito_sabato;app_domenica;osm_domenica;esito_domenica;osm_opening_hours;osm_check_date;lat;lng
diverso;CIMOIL02;ALESSANDRIA;AL;1;15;node/227770719;Cimoil;07:00-20:00;06:00-21:00;diverso;07:00-20:00;06:00-21:00;diverso;08:00-13:00;chiuso;app aperto, OSM chiuso;"PH 08:00-19:00; Mo-Sa 06:00-21:00";;44.900659;8.654644
diverso;SCUPPA ROBERTO;CASTELPLANIO;AN;;5;node/3150785132;Q8;06:00-21:00;08:00-20:00;diverso;06:00-21:00;08:00-20:00;diverso;08:00-12:00/15:00-19:00;chiuso;app aperto, OSM chiuso;Mo-Sa 08:00-20:00;;43.497104;13.104385
diverso;SAM METANO;MERGO;AN;;15;way/362777256;Sam Metano;06:00-20:00;06:00-20:00;uguale;06:00-20:00;06:00-20:00;uguale;07:00-12:30/14:30-19:30;08:00-12:30/14:30-19:30;diverso;"Mo-Sa 06:00-20:00; Su 08:00-12:30,14:30-19:30";;43.4593;13.0514
diverso;TAMOIL - SASSOFERRATO;SASSOFERRATO;AN;;3;node/227952845;Tamoil;07:00-20:00;07:00-12:30/15:00-19:00;diverso;07:00-20:00;07:00-12:30/15:00-19:00;diverso;07:00-12:30;07:00-12:30/15:00-19:00;diverso;07:00-12:30,15:00-19:00;;43.436132;12.873086
diverso;_SUDPETROLI1;SAN SALVATORE TELESINO;BN;;6;node/228109196;Sud Petroli Gambuti;07:30-21:00;08:00-21:00;scostamento <=30 min;06:00-21:00;08:00-21:00;diverso;07:00-13:00/14:30-19:30;08:00-21:00;diverso;Mo-Su 08:00-21:00;;41.225921;14.481858
diverso;IP VIA NUOVA BAZZANESE;BOLOGNA;BO;;1;node/226925846;IP;08:00-12:00/15:00-19:00;07:00-19:00;diverso;08:00-12:00/15:00-19:00;08:00-18:30;diverso;chiuso;chiuso;uguale;"Mo-Fr 07:00-19:00; Sa 08:00-18:30";;44.492256;11.262711
diverso;ITALMET s.r.l.;BOLOGNA;BO;;13;node/228039746;Metano;06:10-22:00;06:10-24:00;diverso;06:10-22:00;06:10-24:00;diverso;06:10-22:00;06:10-24:00;diverso;Mo-Su 06:10-00:45;;44.494664;11.400545
diverso;Metano Borgo Panigale;BOLOGNA;BO;;6;node/228039733;Bipiemme;06:00-20:00;06:00-21:50;diverso;06:00-20:00;06:00-21:50;diverso;chiuso;06:00-21:50;app chiuso, OSM aperto;Mo-Su 06:00-21:50;;44.525321;11.255246
diverso;Sprint Gas Stalingrado;BOLOGNA;BO;;52;way/1531470144;SprintGas;07:30-20:20;07:00-24:00;diverso;07:30-20:20;07:00-24:00;diverso;chiuso;07:00-24:00;app chiuso, OSM aperto;Mo-Su 07:00-24:00;;44.519825;11.362608
diverso;SASSOMET SRL;CASALECCHIO DI RENO;BO;;7;node/229139876;Metano;06:00-21:45;06:00-23:45;diverso;06:00-21:45;06:00-23:45;diverso;06:00-21:45;06:00-23:45;diverso;Mo-Su 06:00-23:45;;44.491776;11.255072
diverso;metanolapalazzina;MOLINELLA;BO;;0;node/5853345060;Metano per auto;06:30-20:00;06:30-12:00/16:00-19:00;diverso;06:30-20:00;06:30-12:00;diverso;07:00-13:00;chiuso;app aperto, OSM chiuso;"Mo-Fr 06:30-12:00, 16:00-19:00; Sa 06:30-12:00";;44.631428;11.671283
diverso;Vega Crespellano;VALSAMOGGIA;BO;;8;way/73423233;PB Metano;07:00-19:00;06:30-19:30;scostamento <=30 min;07:00-13:00;06:30-18:30;diverso;chiuso;chiuso;uguale;"Mo-Fr 06:30-19:30; Sa 06:30-18:30; Su off";;44.533321;11.182342
diverso;MENGA PETROLI;CELLINO SAN MARCO;BR;;16;way/333843681;Menga Petroli;07:00-19:30;08:30-20:00;diverso;07:00-19:30;08:30-20:00;diverso;08:30-12:30;08:00-12:00;scostamento <=30 min;"Mo-Sa 08:30-20:00; Su 08:00-12:00; PH off";;40.47867;17.98127
diverso;REICA SRL - Metano;SAN VITO DEI NORMANNI;BR;;3;node/4319285990;Metano;06:00-21:00;06:30-21:00;scostamento <=30 min;06:00-21:00;06:30-21:00;scostamento <=30 min;07:00-13:00;08:00-12:00/16:00-21:00;diverso;"Mo-Sa 06:30-21:00; Su 08:00-12:00,16:00-21:00";;40.637981;17.689729
diverso;Esso;BRESCIA;BS;;4;node/6654527711;Esso;07:00-20:00;07:00-19:30;scostamento <=30 min;07:00-20:00;07:00-19:30;scostamento <=30 min;08:00-13:00;07:00-19:30;diverso;"07:00-19:30; PH off";;45.505132;10.275528
diverso;Roncadelle Sud;RONCADELLE;BS;;7;node/228292614;Esso;07:30-19:00;06:30-18:50;diverso;07:30-14:00;07:30-11:50;diverso;chiuso;chiuso;uguale;"Mo-Fr 06:30-18:50; Sa 07:30-11:50";;45.537132;10.151906
diverso;Tamoil;NATURNO;BZ;;7;way/995631960;Tamoil;07:00-12:15/14:00-18:00;07:00-12:30/14:00-19:00;diverso;07:00-12:15;07:00-12:30/14:00-19:00;diverso;chiuso;chiuso;uguale;"Mo-Sa 07:00-12:30,14:00-19:00; PH,Su off";;46.662883;11.043266
diverso;New Energy Maddaloni;MADDALONI;CE;;2;node/5853343819;New Energy Maddaloni;05:00-22:00;06:00-21:00;diverso;05:00-22:00;06:00-21:00;diverso;05:00-22:00;07:00-13:00/15:00-21:00;diverso;"Mo-Sa 06:00-21:00; Su 07:00-13:00,15:00-21:00";;41.043152;14.397949
diverso;IperStation Stop & Go Grandate;GRANDATE;CO;1;24;way/1375178502;Iper Station;08:00-19:00;08:00-21:00;diverso;08:00-19:00;08:00-21:00;diverso;chiuso;chiuso;uguale;Mo-Sa 08:00-21:00;;45.770146;9.058767
diverso;METALUPIAE SRL;MURO LECCESE;LE;;20;way/837053247;Metalupiae;06:00-20:30;06:00-21:30;diverso;06:00-20:30;06:00-21:30;diverso;06:00-20:30;06:00-21:30;diverso;Mo-Su 06:00-21:30;;40.101148;18.315096
